volume,region_kind,hit_rows,histories_with_hit,deposit_keV_sum
ColdPlate_4K,OTHER,1688,406,57448.662014796355
ColdPlate_Still_0p7K,OTHER,1016,218,30981.82015742242
ColdPlate_CP_100mK_intercept,OTHER,462,103,18353.750094503
ColdPlate_MXC_50mK_SD_anchor,OTHER,379,82,15070.611687433584
DR_Still_Pot_Cu,OTHER,192,40,8411.380688516898
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,OTHER,179,38,5385.544349089999
Passive_W_Bottom_Plate_detector_bay,OTHER,86,13,4372.832144
DR_4K_Condenser_Cu,OTHER,92,23,4145.208728071899
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,OTHER,148,33,4120.624177821601
Cu_50mK_StillLike_Can_side_wall_above_side_port,OTHER,160,32,4063.458296360199
Cu_50mK_StillLike_Can_bottom_cap_2mm,OTHER,115,32,3729.7670191064
DR_Capillary_CuNi_Still_4K,OTHER,127,22,3183.5048795957205
Shield_60K_Al_side_window_side_wall_above_side_port,OTHER,100,21,2914.3513427000003
Cu_50mK_StillLike_Can_side_wall_below_side_port,OTHER,104,22,2627.532410894701
DR_Capillary_CuNi_4K_60K,OTHER,60,18,2363.9416751548
Shield_4K_Al_side_window_side_wall_above_side_port,OTHER,77,16,2313.290830520001
CsI_TopAnnulus_Segment_05,ACTIVE_SHIELD,41,4,2147.68747
DR_Continuous_HEX_CuNi_CP_to_Still,OTHER,64,15,1903.5078035134
CsI_Bottom_Quadrant_02,ACTIVE_SHIELD,39,4,1868.8900879999997
MuMetal_MagShield_Outer_Cylinder_2mm,OTHER,53,8,1831.0851458820002
ColdPlate_60K,OTHER,59,8,1750.4475731900006
DR_Continuous_HEX_CuNi_MXC_to_CP,OTHER,69,16,1678.9255196428005
CsI_Side_Segment_05,ACTIVE_SHIELD,46,4,1638.2950300000005
CsI_Side_Segment_00,ACTIVE_SHIELD,44,7,1502.6809899999996
CsI_Side_Segment_01,ACTIVE_SHIELD,38,5,1473.87567
Plate_300K_Top_Service_Lid,OTHER,28,4,1404.6655379999997
Still_Shield_Al_side_window_side_wall_above_side_port,OTHER,66,17,1373.3776777310004
CsI_Side_Segment_02,ACTIVE_SHIELD,35,3,1307.635324
Nb_MagShield_Inner_Cylinder_2mm,OTHER,101,8,1208.2844455759998
NbTi_Bundle_CP_Still,OTHER,31,4,1180.8035500000003
CsI_Side_Segment_04_rectcut_window_band,ACTIVE_SHIELD,29,3,1017.7113830000001
CsI_TopAnnulus_Segment_01,ACTIVE_SHIELD,33,3,984.5153859989999
CsI_Bottom_Quadrant_00,ACTIVE_SHIELD,22,4,958.7326994
CsI_TopAnnulus_Segment_07,ACTIVE_SHIELD,20,2,889.26403
CsI_TopAnnulus_Segment_02,ACTIVE_SHIELD,24,3,872.5773800000001
CsI_Side_Segment_04_above_side_port,ACTIVE_SHIELD,14,3,798.34902
DR_MixingChamber_Cu,OTHER,30,9,798.296596702
CsI_Bottom_Quadrant_01,ACTIVE_SHIELD,19,2,785.9149900000001
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,OTHER,17,2,757.54947
CsI_Side_Segment_06,ACTIVE_SHIELD,14,2,734.83665
NbTi_Bundle_4K_60K,OTHER,22,5,729.6136080000002
NbTi_Bundle_Still_4K,OTHER,16,3,673.533494
CsI_Side_Segment_04_below_side_port,ACTIVE_SHIELD,19,3,662.8376470000001
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,OTHER,33,6,626.7429090100001
CsI_TopAnnulus_Segment_03,ACTIVE_SHIELD,16,3,563.2087200000001
CsI_Bottom_Quadrant_03,ACTIVE_SHIELD,10,2,550.39743
CsI_Side_Segment_07,ACTIVE_SHIELD,13,2,520.47143
TP_L1_00119,TES_PIXEL,5,1,510.9989
CsI_TopAnnulus_Segment_00,ACTIVE_SHIELD,14,1,510.9988919999999
Still_Shield_Al_side_window_side_wall_rectcut_window_band,OTHER,23,1,484.0315377940001
Still_Shield_Al_side_window_side_wall_below_side_port,OTHER,50,2,481.86784186000006
Cu_ColdFinger_Stem_YP_ZM_to_MXC,OTHER,9,2,472.853732385
Shield_60K_Al_side_window_bottom_cap,OTHER,29,4,449.5118180000001
Cu_SubstrateSupport_SolidDisk_L0_deepest,OTHER,17,6,448.7345808467
CsI_Side_Segment_03_above_side_port,ACTIVE_SHIELD,7,1,444.20192
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,OTHER,11,4,441.7498
G10_Support_Ring_Still_4K,OTHER,33,3,402.97355000000005
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_rectcut_window_band,OTHER,9,2,378.07542000000007
MuMetal_MagShield_Outer_Back_ColdFingerCap_2mm,OTHER,7,2,355.5022
PreCool_FlexLink_Cu_remote_interface,OTHER,13,4,284.860665154
CsI_TopAnnulus_Segment_06,ACTIVE_SHIELD,13,2,279.85750850000005
Shield_4K_Al_side_window_side_wall_below_side_port,OTHER,36,2,273.015764019
Cu_SubstrateSupport_OpenRing_L1_YP_panel,OTHER,4,2,264.80892644
Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,OTHER,6,3,262.99927
CsI_Side_Segment_03_rectcut_window_band,ACTIVE_SHIELD,5,1,210.63593
DR_MXC_Sinter_HEX_AgProxy,OTHER,3,1,203.09213
CsI_TopAnnulus_Segment_04,ACTIVE_SHIELD,12,2,194.7752
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,OTHER,3,1,164.18092000000001
TP_L0_00126,TES_PIXEL,4,1,139.93279
Cu_SubstrateSupport_OpenRing_L5_ZP_panel,OTHER,2,1,137.4263212818
Nb_MagShield_Inner_Back_ColdFingerCap_2mm,OTHER,2,1,132.74496000000002
G10_Support_Ring_CP_Still,OTHER,32,1,115.110822
CsI_Side_Segment_03_below_side_port,ACTIVE_SHIELD,4,1,112.11449999999999
DR_Still_PumpLine_SS_to_300K_top,OTHER,3,1,87.40013
Win_Still_Al_foil_side,OTHER,20,1,80.01415695999998
TP_L4_00155,TES_PIXEL,2,1,76.40226
G10_Support_Ring_MXC_CP,OTHER,3,1,69.095255
Shield_60K_Al_side_window_side_wall_below_side_port,OTHER,6,2,66.055552
Cu_SubstrateSupport_OpenRing_L3_YM_panel,OTHER,2,1,57.291493672
Shield_4K_Al_side_window_side_wall_rectcut_window_band,OTHER,2,1,52.42497
Still_Shield_Al_side_window_bottom_cap,OTHER,4,2,49.85279
Win_4K_Al_foil_side,OTHER,11,1,48.78894515999999
NbTi_Bundle_bay_to_MXC,OTHER,2,1,44.521750000000004
DR_Capillary_CuNi_CP_Still,OTHER,10,2,16.654992299999996
Shield_60K_Al_side_window_side_wall_rectcut_window_band,OTHER,2,1,16.50207
Cu_SubstrateSupport_OpenRing_L2_YM_panel,OTHER,5,1,8.32540774
Shield_4K_Al_side_window_bottom_cap,OTHER,2,1,4.555556
