source_volume,source_histories,fluka_w2_raw_events,megalib_w2_raw_events,difference_events,difference_share_of_net,fluka_over_megalib,fluka_median_source_to_tes_cm,megalib_median_source_to_tes_cm,fluka_active_veto_fraction,megalib_active_veto_fraction,fluka_shield_touched_fraction,megalib_shield_touched_fraction,fluka_top_carriers,megalib_top_carriers
ColdPlate_MXC_50mK_SD_anchor,84445,438,227,211,0.8084291187739464,1.9295154185022025,4.577800070690741,6.565891063417915,0.545662100456621,0.8237885462555066,0.4589041095890411,0.18061674008810572,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:651; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:8,MEGAlib:e-|gamma|phot|eIoni:728; MEGAlib:e-|gamma|phot|msc:685; MEGAlib:gamma|gamma|phot|phot:283
Cu_SubstrateSupport_SolidDisk_L0_deepest,4708,74,164,-90,-0.3448275862068966,0.45121951219512196,1.7269183884086223,1.2516872839942448,0.5540540540540541,0.49390243902439024,0.47297297297297297,0.5304878048780488,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:103,MEGAlib:e-|gamma|phot|msc:742; MEGAlib:e-|gamma|phot|eIoni:532; MEGAlib:gamma|gamma|phot|phot:207
Cu_50mK_StillLike_Can_side_wall_above_side_port,26299,132,77,55,0.210727969348659,1.7142857142857142,4.566828583392779,7.134332875589422,0.4166666666666667,0.2857142857142857,0.5984848484848485,0.7402597402597403,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:203; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:2,MEGAlib:e-|gamma|phot|msc:334; MEGAlib:e-|gamma|phot|eIoni:240; MEGAlib:gamma|gamma|phot|phot:87
ColdPlate_CP_100mK_intercept,95876,88,42,46,0.17624521072796934,2.0952380952380953,9.498762899174586,11.716926732521511,0.5568181818181818,0.9523809523809523,0.45454545454545453,0.047619047619047616,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:129; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:3,MEGAlib:e-|gamma|phot|eIoni:138; MEGAlib:e-|gamma|phot|msc:93; MEGAlib:gamma|gamma|phot|phot:50
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,31280,150,107,43,0.16475095785440613,1.4018691588785046,5.855178969698961,6.72616181472599,0.4533333333333333,0.2336448598130841,0.5733333333333334,0.7663551401869159,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:215; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:6,MEGAlib:e-|gamma|phot|eIoni:359; MEGAlib:e-|gamma|phot|msc:322; MEGAlib:gamma|gamma|phot|phot:130
ColdPlate_Still_0p7K,188826,47,22,25,0.09578544061302682,2.1363636363636362,15.4003627909301,17.202217908734873,0.6595744680851063,1.0,0.3829787234042553,0.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:60; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1,MEGAlib:e-|gamma|phot|msc:138; MEGAlib:e-|gamma|phot|eIoni:64; MEGAlib:e-|gamma|compt|msc:32
Cu_50mK_StillLike_Can_bottom_cap_2mm,26982,90,114,-24,-0.09195402298850575,0.7894736842105263,6.625508957445586,5.819293308225053,0.26666666666666666,0.3508771929824561,0.7333333333333333,0.6666666666666666,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:132; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:3,MEGAlib:e-|gamma|phot|msc:382; MEGAlib:e-|gamma|phot|eIoni:370; MEGAlib:gamma|gamma|phot|phot:144
DR_MixingChamber_Cu,14457,39,17,22,0.0842911877394636,2.2941176470588234,5.706189817982526,6.330979308401472,0.8974358974358975,0.8823529411764706,0.10256410256410256,0.11764705882352941,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:53; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:3,MEGAlib:e-|gamma|phot|eIoni:54; MEGAlib:e-|gamma|phot|msc:23; MEGAlib:gamma|gamma|phot|phot:18
DR_Continuous_HEX_CuNi_MXC_to_CP,9197,30,12,18,0.06896551724137931,2.5,5.687781653550069,9.258525171897332,0.4666666666666667,0.9166666666666666,0.5333333333333333,0.08333333333333333,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:47; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1,MEGAlib:e-|gamma|phot|eIoni:42; MEGAlib:e-|gamma|phot|msc:22; MEGAlib:gamma|gamma|phot|phot:13
Cu_SubstrateSupport_OpenRing_L4_ZM_panel,277,2,16,-14,-0.05363984674329502,0.125,3.3826993216976153,2.907125335139092,0.5,0.375,0.5,0.625,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2,MEGAlib:e-|gamma|phot|msc:59; MEGAlib:e-|gamma|phot|eIoni:49; MEGAlib:e-|gamma|compt|eIoni:23
DR_Continuous_HEX_CuNi_CP_to_Still,13913,17,4,13,0.04980842911877394,4.25,12.143279559347196,14.42972001588652,0.8823529411764706,1.0,0.11764705882352941,0.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:21; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1,MEGAlib:e-|gamma|phot|eIoni:16; MEGAlib:e-|gamma|phot|msc:11; MEGAlib:gamma|gamma|phot|phot:5
Cu_SubstrateSupport_OpenRing_L3_ZP_panel,407,5,17,-12,-0.04597701149425287,0.29411764705882354,3.6671784670332643,2.319980716170204,0.6,0.6470588235294118,0.4,0.35294117647058826,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:5,MEGAlib:e-|gamma|phot|msc:107; MEGAlib:e-|gamma|phot|eIoni:43; MEGAlib:e-|gamma|compt|msc:42
DR_Still_Pot_Cu,28450,12,1,11,0.0421455938697318,12.0,14.859984386954117,14.71202189342061,0.9166666666666666,1.0,0.08333333333333333,0.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:17,MEGAlib:gamma|e+|annihil|compt:3; MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:e-|gamma|compt|eIoni:3
Cu_SubstrateSupport_OpenRing_L5_YP_panel,432,13,23,-10,-0.038314176245210725,0.5652173913043478,2.3095021599653016,1.3736848201891854,0.46153846153846156,0.5217391304347826,0.6153846153846154,0.4782608695652174,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:22,MEGAlib:e-|gamma|phot|msc:221; MEGAlib:e-|gamma|phot|eIoni:62; MEGAlib:e-|gamma|compt|msc:46
Cu_SubstrateSupport_OpenRing_L2_YM_panel,283,3,13,-10,-0.038314176245210725,0.23076923076923078,6.2033867409118635,2.203054670408899,0.6666666666666666,0.3076923076923077,0.3333333333333333,0.6923076923076923,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:4,MEGAlib:e-|gamma|phot|eIoni:39; MEGAlib:gamma|gamma|phot|phot:16; MEGAlib:gamma|e+|annihil|phot:13
Cu_ColdFinger_Stem_YP_ZP_to_MXC,158,10,1,9,0.034482758620689655,10.0,0.7765527317409591,6.5232121243565055,0.2,0.0,0.9,1.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:14; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:3,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|gamma|phot|phot:3; MEGAlib:gamma|e+|annihil|compt:2
Cu_SubstrateSupport_OpenRing_L2_ZP_panel,298,6,14,-8,-0.03065134099616858,0.42857142857142855,3.893887499779826,1.35054398055912,0.5,0.9285714285714286,0.5,0.07142857142857142,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:9,MEGAlib:e-|gamma|phot|eIoni:48; MEGAlib:e-|gamma|phot|msc:29; MEGAlib:gamma|gamma|phot|phot:20
Cu_50mK_StillLike_Can_side_wall_below_side_port,17795,46,53,-7,-0.02681992337164751,0.8679245283018868,8.326837948822284,7.074664186996076,0.30434782608695654,0.33962264150943394,0.7391304347826086,0.6792452830188679,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:65; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1,MEGAlib:e-|gamma|phot|eIoni:173; MEGAlib:e-|gamma|phot|msc:108; MEGAlib:gamma|gamma|phot|phot:59
Cu_SubstrateSupport_OpenRing_L4_YP_panel,304,7,14,-7,-0.02681992337164751,0.5,2.5177318891722984,2.066405974952586,1.0,0.42857142857142855,0.0,0.5714285714285714,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:8; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1,MEGAlib:e-|gamma|phot|eIoni:47; MEGAlib:gamma|gamma|phot|phot:18; MEGAlib:gamma|e+|annihil|phot:14
Cu_SubstrateSupport_OpenRing_L5_ZP_panel,305,3,9,-6,-0.022988505747126436,0.3333333333333333,2.272994841505312,2.236683247637177,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.4444444444444444,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:5,MEGAlib:e-|gamma|phot|msc:41; MEGAlib:e-|gamma|phot|eIoni:29; MEGAlib:gamma|e+|annihil|phot:9
Cu_SubstrateSupport_OpenRing_L3_ZM_panel,139,0,6,-6,-0.022988505747126436,0.0,,2.3415021113774834,,0.8333333333333334,,0.16666666666666666,,MEGAlib:e-|gamma|phot|eIoni:21; MEGAlib:e-|gamma|phot|msc:10; MEGAlib:gamma|gamma|phot|phot:8
Cu_SubstrateSupport_OpenRing_L4_ZP_panel,139,1,5,-4,-0.01532567049808429,0.2,4.941071934455537,1.1958463237808703,1.0,0.6,0.0,0.4,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2,MEGAlib:e-|gamma|phot|eIoni:15; MEGAlib:e-|gamma|phot|msc:15; MEGAlib:gamma|gamma|phot|phot:6
DR_Capillary_CuNi_MXC_CP,1835,5,1,4,0.01532567049808429,5.0,7.689772835589695,10.510527054542232,0.4,1.0,0.6,0.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:6,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|compt:2; MEGAlib:gamma|gamma|phot|phot:2
Cu_SubstrateSupport_OpenRing_L1_ZP_panel,137,1,5,-4,-0.01532567049808429,0.2,6.373026421870039,2.357011717283792,1.0,0.8,0.0,0.2,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2,MEGAlib:e-|gamma|phot|msc:37; MEGAlib:e-|gamma|phot|eIoni:19; MEGAlib:gamma|gamma|phot|phot:8
Cu_SubstrateSupport_OpenRing_L1_YP_panel,430,3,6,-3,-0.011494252873563218,0.5,4.805895968088967,2.3382540380301275,1.0,0.3333333333333333,0.0,0.6666666666666666,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:3; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1,MEGAlib:e-|gamma|phot|eIoni:20; MEGAlib:gamma|e+|annihil|compt:6; MEGAlib:gamma|e+|annihil|phot:6
ColdPlate_4K,391829,14,11,3,0.011494252873563218,1.2727272727272727,24.22800884381812,26.93613833993079,1.0,1.0,0.0,0.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:17,MEGAlib:e-|gamma|phot|msc:85; MEGAlib:e-|gamma|phot|eIoni:33; MEGAlib:gamma|e+|annihil|compt:12
Cu_SubstrateSupport_OpenRing_L3_YM_panel,153,2,5,-3,-0.011494252873563218,0.4,5.332823757856703,1.824232141797289,0.5,0.4,0.5,0.6,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:4,MEGAlib:e-|gamma|phot|msc:86; MEGAlib:e-|gamma|phot|eIoni:18; MEGAlib:gamma|gamma|phot|phot:10
DR_Capillary_CuNi_CP_Still,2992,4,1,3,0.011494252873563218,4.0,14.23952479162914,13.8993996553192,0.75,1.0,0.25,0.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:6,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
Cu_ColdFinger_Stem_YP_ZM_to_MXC,419,4,1,3,0.011494252873563218,4.0,3.3985864412035127,5.631446186583139,0.5,1.0,0.5,0.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:6,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
Cu_SubstrateSupport_OpenRing_L2_YP_panel,137,3,5,-2,-0.007662835249042145,0.6,6.654752909542134,1.4739607275337392,1.0,0.6,0.0,0.4,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:3,MEGAlib:e-|gamma|phot|eIoni:17; MEGAlib:gamma|e+|annihil|phot:5; MEGAlib:gamma|gamma|phot|phot:5
Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem,156,0,2,-2,-0.007662835249042145,0.0,,1.8914183030407994,,0.0,,1.0,,MEGAlib:e-|gamma|phot|msc:25; MEGAlib:e-|gamma|phot|eIoni:6; MEGAlib:gamma|e+|annihil|phot:2
Cu_ColdFinger_Stem_YM_ZM_to_MXC,150,3,1,2,0.007662835249042145,3.0,2.814772732924983,5.322491759086328,0.6666666666666666,0.0,0.3333333333333333,1.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:5,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
Cu_SubstrateSupport_OpenRing_L1_YM_panel,140,4,6,-2,-0.007662835249042145,0.6666666666666666,6.463655197753273,2.0973407208934756,0.25,0.5,0.75,0.5,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:8,MEGAlib:e-|gamma|phot|msc:37; MEGAlib:e-|gamma|phot|eIoni:17; MEGAlib:gamma|e+|annihil|phot:6
DR_Capillary_CuNi_Still_4K,16721,3,1,2,0.007662835249042145,3.0,16.54576127077697,19.679033569548498,0.6666666666666666,1.0,0.3333333333333333,0.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:4,MEGAlib:gamma|e+|annihil|compt:2; MEGAlib:e-|gamma|phot|eIoni:2; MEGAlib:e-|gamma|compt|eIoni:2
Cu_MXC_Clamp_Pad_YP_ZM_for_OffAxisStem,135,1,0,1,0.0038314176245210726,,2.185601195872014,,0.0,,1.0,,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1,
DR_4K_Condenser_Cu,17828,1,0,1,0.0038314176245210726,,21.92168451013032,,1.0,,0.0,,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2,
Cu_MXC_Clamp_Pad_YM_ZP_for_OffAxisStem,156,1,0,1,0.0038314176245210726,,0.8084671343753056,,1.0,,0.0,,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1,
Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,152,2,1,1,0.0038314176245210726,2.0,2.197025561349423,1.1970907762419778,1.0,0.0,0.0,1.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
Cu_ColdFinger_Stem_YM_ZP_to_MXC,147,1,0,1,0.0038314176245210726,,1.1248529392120032,,0.0,,1.0,,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1,
Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,145,3,3,0,0.0,1.0,2.0417859759087666,1.4139947831193405,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:7,MEGAlib:e-|gamma|phot|msc:20; MEGAlib:e-|gamma|phot|eIoni:6; MEGAlib:gamma|e+|annihil|phot:3
Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,141,1,1,0,0.0,1.0,2.0396097026174833,8.028086979908835,1.0,1.0,0.0,0.0,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1,MEGAlib:e-|gamma|phot|eIoni:5; MEGAlib:gamma|gamma|phot|phot:2; MEGAlib:gamma|e+|annihil|phot:1
